Id,Level,Reading_On,Reading_Kun,Strokes
土,10,"['ト', 'ド']",['つち'],3
二,10,"['ニ', 'ジ']","['ふた', 'ふた（つ）']",2
入,10,"['ニュウ', 'ジュ', 'ジュウ']","['い（る）', 'い（れる）', 'はい（る）', 'しお']",2
年,10,"['ネン', 'デン']","['とし', 'とせ', 'みのり', 'よわい']",6
白,10,"['ハク', 'ビャク']","['しら', 'しろ', 'しろ（い）', 'あき（らか）', 'せりふ', 'もう（す）']",5
八,10,['ハチ'],"['や', 'や（つ）', 'やっ（つ）', 'よう']",2
百,10,"['ヒャク', 'ハク']",['もも'],6
本,10,['ホン'],['もと'],5
名,10,"['ミョウ', 'メイ']",['な'],6
目,10,"['モク', 'ボク']","['め', 'ま', 'かなめ', 'まなこ']",5
文,10,"['ブン', 'モン']","['ふみ', 'あや', 'かざ（る）']",4
亠,-1,['トウ'],[],2
乂,1,['ガイ'],"['おさ（める）', 'か（る）', 'すぐ（れる）']",2
右,10,"['ウ', 'ユウ']","['みぎ', 'たす（ける）']",5
六,10,"['ロク', 'リク']","['む', 'むい', 'む（つ）', 'むっ（つ）']",4
引,9,['イン'],"['ひ（く）', 'ひ（ける）']",4
弓,9,['キュウ'],['ゆみ'],3
羽,9,['ウ'],"['は', 'はね']",6
雲,9,['ウン'],"['くも', 'そら']",12
云,1,['ウン'],['い（う）'],4
遠,9,"['エン', 'オン']","['とお（い）', 'おち']",13
辶,-1,[],[],4
袁,-1,['エン'],[],10
園,9,"['エン', 'オン']","['その', 'にわ']",13
家,9,"['カ', 'ケ']","['いえ', 'や', 'うち']",10
豕,1,['シ'],"['い', 'いのこ', 'ぶた']",7
何,9,['カ'],"['なに', 'なん', 'いず（く）', 'いず（れ）']",7
可,6,"['カ', 'コク']","['べ（し）', 'よ（い）']",5
夏,9,"['カ', 'ゲ']",['なつ'],10
自,9,"['シ', 'ジ']","['みずか（ら）', 'おのずか（ら）', 'よ（り）']",6
夂,-1,['チ'],[],3
科,9,['カ'],"['しぐさ', 'しな', 'とが']",9
禾,1,['カ'],"['いね', 'のぎ']",5
斗,3,"['ト', 'トウ']","['ひしゃく', 'ます']",4
歌,9,['カ'],"['うた', 'うた（う）']",14
哥,1,['カ'],"['うた', 'うた（う）']",10
欠,7,"['ケツ', 'ケン']","['か（く）', 'か（ける）', 'あくび']",4
画,9,"['ガ', 'カク']","['え', 'えが（く）', 'かぎ（る）', 'か（く）', 'はか（る）']",8
由,8,"['ユ', 'ユウ', 'ユイ']","['よし', 'なお', 'よ（る）']",5
凵,-1,"['カン', 'ケン']",[],2
